Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
209	-1.92172	-7.47286	5.55114	0.003854208	0.0009913873	1.94618	0.274431	168.166	1192.58	0.715088	0.284912
210	-2.25043	-7.45874	5.20831	0.003854208	0.0009913873	3.11337	0.275768	105.121	1186.8	0.731972	0.268028
211	-2.13097	-7.56778	5.43681	0.003854208	0.0009913873	2.34081	0.361497	139.815	905.349	0.607586	0.392414
212	-2.58253	-7.72253	5.14	0.003854208	0.0009913873	2.76701	0.184704	118.28	1771.92	0.452804	0.547196
213	-2.46553	-7.62534	5.15982	0.003854208	0.0009913873	3.14993	0.430339	103.901	760.518	0.547196	0.452804
214	-3.06669	-7.34296	4.27627	0.003854208	0.0009913873	4.27974	1.1317	76.4721	289.194	0.879767	0.120233
215	-2.06641	-7.34296	5.27655	0.003854208	0.0009913873	2.02751	0.690046	161.42	474.288	0.879767	0.120233
216	-3.82691	-8.3446	4.51769	0.003854208	0.0009913873	2.46928	1.541	132.541	212.382	0.0244343	0.975566
217	-4.04226	-8.37256	4.3303	0.003854208	0.0009913873	5.4979	0.683555	59.5283	478.792	0.0107465	0.989254
218	-1.897	-7.29878	5.40178	0.003854208	0.0009913873	2.40433	0.395511	136.121	827.488	0.940824	0.0591764
